wavelength,dark_current
632.99,1503.3
633.45,1504.8
633.91,1503.3
634.37,1502.4
634.83,1504.3
635.3,1500.7
635.76,1503.9
636.22,1502.1
636.68,1498.8
637.14,1498.2
637.6,1501.6
638.06,1504.9
638.52,1501.6
638.98,1501
639.44,1497.8
639.9,1501.3
640.36,1503.1
640.83,1499.5
641.29,1503.9
641.75,1504.2
642.21,1502.9
642.67,1503
643.13,1504.3
643.59,1502.6
644.05,1499.5
644.52,1505.1
644.98,1503.4
645.44,1502.4
645.9,1504.6
646.36,1504.2
646.82,1498.6
647.28,1501.1
647.75,1503.3
648.21,1504.9
648.67,1504.1
649.13,1505.7
649.59,1504.5
650.05,1504
650.52,1502.4
650.98,1500.9
651.44,1501.8
651.9,1498.9
652.36,1503.5
652.83,1502.6
653.29,1503.4
653.75,1503.7
654.21,1498.7
654.67,1500.7
655.14,1500.5
655.6,1502.9
656.06,1503.4
656.52,1502.2
656.99,1500.2
657.45,1501.7
657.91,1502.7
658.37,1503.1
658.84,1502.9
659.3,1501
659.76,1501.8
660.22,1504
660.69,1504.2
661.15,1503.1
661.61,1499.4
662.07,1502.6
662.54,1502.5
663,1503.1
663.46,1504.6
663.92,1503.2
664.39,1504.9
664.85,1503
665.31,1500.9
665.78,1503
666.24,1502.3
666.7,1504.1
667.17,1501.9
667.63,1503.4
668.09,1504.8
668.56,1502.2
669.02,1501.6
669.48,1504.5
669.95,1503.5
670.41,1502.9
670.87,1504.5
671.34,1501.6
671.8,1502.2
672.26,1501.1
672.73,1500.3
673.19,1495.7
673.65,1501.9
674.12,1503.1
674.58,1502.5
675.04,1500.6
675.51,1500.7
675.97,1502.8
676.44,1502.5
676.9,1501.7
677.36,1503.2
677.83,1500.1
678.29,1501.9
678.76,1505.1
679.22,1503.1
679.68,1504.2
680.15,1502.4
680.61,1502.5
681.08,1503
681.54,1500.4
682,1501.4
682.47,1503.5
682.93,1504.5
683.4,1502.5
683.86,1503.1
684.33,1503.1
684.79,1499.2
685.25,1503.8
685.72,1504.5
686.18,1502.8
686.65,1504.5
687.11,1501.1
687.58,1500.3
688.04,1498.2
688.51,1500.6
688.97,1502.1
689.44,1501.4
689.9,1499
690.37,1502.4
690.83,1502.6
691.3,1501.2
691.76,1499.6
692.23,1506.7
692.69,1500.1
693.16,1499.4
693.62,1503
694.09,1503
694.55,1501.7
695.02,1500.4
695.48,1500.3
695.95,1503
696.41,1502.4
696.88,1500.1
697.34,1503.9
697.81,1502.1
698.28,1500.2
698.74,1503.1
699.21,1502.2
699.67,1502.8
700.14,1502.2
700.6,1503.2
701.07,1497.6
701.53,1504.3
702,1504.4
702.47,1501.4
702.93,1500
703.4,1503.7
703.86,1502.4
704.33,1500.2
704.8,1501.6
705.26,1501.5
705.73,1501.5
706.19,1502.1
706.66,1501.2
707.13,1499.1
707.59,1503.3
708.06,1503.5
708.53,1496.7
708.99,1502.2
709.46,1502.7
709.92,1502.8
710.39,1500.4
710.86,1504.7
711.32,1502.5
711.79,1506.1
712.26,1503.5
712.72,1501.8
713.19,1506.3
713.66,1506
714.12,1500.4
714.59,1504.6
715.06,1502.1
715.52,1503
715.99,1503
716.46,1501.5
716.92,1502
717.39,1500.9
717.86,1502.4
718.33,1505.5
718.79,1501.3
719.26,1500.9
719.73,1504.5
720.19,1503.6
720.66,1506.6
721.13,1502.4
721.6,1500.9
722.06,1503.7
722.53,1498.4
723,1503.2
723.47,1501.4
723.93,1502.6
724.4,1504.3
724.87,1501
725.34,1504
725.8,1500.4
726.27,1500.8
